id,uuid,titles,aliases,first_name,last_name,suffix,dob,birthplace,dod,profession,misc,house_id
1,e6cef093-fad8-4448-8bbf-86bad9fc8d85,"[""Duke""]","[""The Old Duke""]",Unknown,Atreides,,Unknown,Unknown,10154 AG,"[""Ruler""]",,1
2,a86de371-376d-47a7-8ad6-717c5f8e15c9,"[""Duke""]","[""The Red Duke"", ""Leto the Just""]",Leto,Atreides,I,10140 AG,Caladan,10191 AG,"[""Ruler"", ""Soldier""]",,1
3,ebe3fc90-e48e-43b4-b563-04dd3a54f526,"[""Lady"", ""Honorable Atreides""]",,Jessica,Atreides,,10154 AG,Wallach IX,10256 AG,"[""Bene Gesserit Sister""]",,1
4,71ba9ffa-8f2d-49f7-be74-82ec4a7f1f2b,"[""Duke"", ""Padishah Emperor"", ""Kwisatz Haderach"", ""Mahdi"", ""Lisan al Gaib""]","[""MuadDib"", ""Usul"", ""The Preacher"", ""The Mentat Emperor""]",Paul,Atreides,,10176 AG,Caladan,10219 AG,"[""Ruler"", ""Soldier""]",,1
5,c70968f9-4110-4cf2-9033-de3d88dd6fe3,"[""Regent"", ""Mahdinate""]","[""St. Alia of the Knife"", ""Abomination"", ""Coan-Teen"", ""Hawt the Fish Monster"", ""Womb of Heaven""]",Alia,Atreides,,10191 AG,Arrakis,10219 AG,"[""Ruler""]",,1
6,a370cbcd-d6e8-46bd-8a9f-bfd2fe5a8eef,,,Leto,Atreides,II (Elder),Unknown,Arrakis,10193 AG,,,1
7,97e6f15c-c72b-4742-87c5-28e656450902,"[""Padishah Emperor""]","[""God-Emperor"", ""Divided God"", ""Golden Ruler"", ""The Tyrant"", ""Guldur"", ""Great God Dur"", ""Worm"", ""Worm God"", ""Old Worm"", ""Prophet"", ""Desert Demon"", ""Ari"", ""Lion of the Atreides"", ""Batigh""]",Leto,Atreides,II,10210 AG,Arrakis,13728 AG,"[""Ruler""]",,1
8,14aee0b2-2517-4d6d-a4fb-b09008d67141,"[""Empress""]","[""Aryeh"", ""Atreides Lioness""]",Ghanima,Atreides,,10210 AG,Arrakis,Unknown,,,1
9,540b8c10-8297-4710-833e-84ef51797ac0,"[""Majordomo""]",,Moneo,Atreides,,13610 AG,Unknown,13728 AG,"[""Emperor's Aide""]",,1
10,5c2ac4fa-f560-4840-9783-7188b071b85f,"[""Governor of Arrakis""]",,Siona Ibn Fuad al-Seyefa,Atreides,,13600s AG,Arrakis,Unknown,"[""Ruler""]",,1
11,cd41b941-bd45-4247-8bd5-fcfd522788e9,"[""Warmaster"", ""Earl of Caladan""]",,Gurney,Halleck,,c. 10130 AG,Unknown,Unknown,"[""Soldier""]",,1
12,3f673507-11cf-42d0-ad15-e75b8b8c816f,,,Abulurd,Harkonnen,,Unknown,Unknown,Unknown,,,2
13,bda72825-718f-42fc-a0b9-a4df2bfb5fc2,"[""Governor of Lankiveil""]","[""Abulurd Harkonnen II""]",Abulurd,Rabban,,Unknown,Unknown,Unknown,"[""Ruler""]",,2
14,e62c1807-d27a-45e9-8915-2344a849630a,"[""Baron""]",,Vladimir,Harkonnen,,10110 AG,Giedi Prime,10193 AG,"[""Ruler""]",,2
15,6d33274f-1b8b-44b2-a4dd-8aa42be30cac,"[""Count of Lankiveil"", ""Governor of Arrakis""]","[""Beast Rabban"", ""Mudir Nahya"", ""Demon Ruler"", ""King Cobra""]",Glossu,Rabban,,10132 AG,Lankiveil,10193 AG,"[""Ruler"", ""Soldier""]",,2
16,a75c6747-2c35-4504-8d4f-07e0dd8c07df,"[""Baron""]",,Feyd-Rautha,Harkonnen,,10174 AG,Lankiveil,10193 AG,"[""Ruler"", ""Soldier""]",,2
17,3d613910-ce36-4793-86e6-319d133d97e4,"[""Padishah Emperor""]",,Shaddam,Corrino,IV,10119 AG,Kaitain,10202 AG,"[""Ruler""]",,3
18,dce385da-d6b1-4f67-8376-529e199d7b73,"[""Princess""]",,Irulan,Corrino,,10176 AG,Kaitain,Unknown,"[""Historian"", ""Bene Gesserit Sister""]",,3
19,7f517526-c3b9-4c83-a2d1-813fff1f1f92,"[""Princess""]",,Wensicia,Corrino,,Unknown,Unknown,Unknown,,,3
20,5ab23754-25ce-4f6d-a4f8-371a56267b1e,"[""Prince""]","[""Harq al-Ada""]",Faradn,Corrino,,Unknown,Unknown,Unknown,"[""Scribe""]",,3
21,685174ed-2aad-4246-8d89-bfed24ac1370,"[""Lady""]",,Anirul,Corrino,,Unknown,Unknown,10176 AG,"[""Bene Gesserit Sister""]",,3
22,29ff3553-6f80-4c2d-9f27-19f4477c8c07,"[""Count""]","[""Imperial Agent on Arrakis"", ""Interim Governor of Arrakis"", ""Siridar-Absentia of Caladan""]",Hasimir,Fenring,,10133 AG,Unknown,10225 AG,"[""Assassin"", ""Mentat""]",,4
